technic,basis,file1,file2,global time,cpu time,result
id,comp,./basic_tests/cx_gate_0.qasm,./basic_tests/cx_gate_0.qasm,0.0050370693206787,0.0019699999999999,True
id,paul,./basic_tests/cx_gate_0.qasm,./basic_tests/cx_gate_0.qasm,0.0046427249908447,0.0010729999999999,True
2n,paul,./basic_tests/cx_gate_0.qasm,./basic_tests/cx_gate_0.qasm,0.0064911842346191,0.0039029999999999,True
id,comp,./basic_tests/cx_gate_1.qasm,./basic_tests/cx_gate_1.qasm,0.0049469470977783,0.002702,True
id,paul,./basic_tests/cx_gate_1.qasm,./basic_tests/cx_gate_1.qasm,0.0047669410705566,0.001128,True
2n,paul,./basic_tests/cx_gate_1.qasm,./basic_tests/cx_gate_1.qasm,0.0072658061981201,0.0042719999999999,True
id,comp,./basic_tests/cz_gate_0.qasm,./basic_tests/cz_gate_0.qasm,0.0074710845947265,0.0023139999999999,True
id,paul,./basic_tests/cz_gate_0.qasm,./basic_tests/cz_gate_0.qasm,0.0050382614135742,0.0012619999999999,True
2n,paul,./basic_tests/cz_gate_0.qasm,./basic_tests/cz_gate_0.qasm,0.0059881210327148,0.003236,True
id,comp,./basic_tests/cz_gate_1.qasm,./basic_tests/cz_gate_1.qasm,0.0067012310028076,0.0011559999999999,True
id,paul,./basic_tests/cz_gate_1.qasm,./basic_tests/cz_gate_1.qasm,0.0050230026245117,0.001311,True
2n,paul,./basic_tests/cz_gate_1.qasm,./basic_tests/cz_gate_1.qasm,0.0065150260925292,0.0036749999999999,True
id,comp,./basic_tests/h_gate.qasm,./basic_tests/h_gate.qasm,0.0077838897705078,0.001537,True
id,paul,./basic_tests/h_gate.qasm,./basic_tests/h_gate.qasm,0.005418062210083,0.001176,True
2n,paul,./basic_tests/h_gate.qasm,./basic_tests/h_gate.qasm,0.0044021606445312,0.001807,True
id,comp,./basic_tests/rx_gate.qasm,./basic_tests/rx_gate.qasm,0.0072708129882812,0.0019,True
id,paul,./basic_tests/rx_gate.qasm,./basic_tests/rx_gate.qasm,0.0061612129211425,0.001325,True
2n,paul,./basic_tests/rx_gate.qasm,./basic_tests/rx_gate.qasm,0.0047109127044677,0.0017469999999999,True
id,comp,./basic_tests/rz_gate.qasm,./basic_tests/rz_gate.qasm,0.0057692527770996,0.003421,True
id,paul,./basic_tests/rz_gate.qasm,./basic_tests/rz_gate.qasm,0.0050947666168212,0.000836,True
2n,paul,./basic_tests/rz_gate.qasm,./basic_tests/rz_gate.qasm,0.0039119720458984,0.001634,True
id,comp,./basic_tests/s_gate.qasm,./basic_tests/s_gate.qasm,0.0048210620880126,0.001116,True
id,paul,./basic_tests/s_gate.qasm,./basic_tests/s_gate.qasm,0.0048511028289794,0.0012409999999999,True
2n,paul,./basic_tests/s_gate.qasm,./basic_tests/s_gate.qasm,0.0040562152862548,0.0021039999999999,True
id,comp,./basic_tests/sdg_gate.qasm,./basic_tests/sdg_gate.qasm,0.0049390792846679,0.0023799999999999,True
id,paul,./basic_tests/sdg_gate.qasm,./basic_tests/sdg_gate.qasm,0.0048871040344238,0.0012139999999999,True
2n,paul,./basic_tests/sdg_gate.qasm,./basic_tests/sdg_gate.qasm,0.0040559768676757,0.0020109999999999,True
